"Subtopic","Question Number","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Difficulty"
"Possessives and Appositives","83","Correct the possessive form: The babys toys are new.","babies'","baby's","babyes","baby","B) baby's","Singular noun baby takes 's for possessive.","8"
"Possessives and Appositives","84","Which sentence correctly uses both a possessive and an appositive?","Sana's brother, a pilot is brave.","Sanas' brother, a pilot, is brave.","Sana brother, a pilot, is brave.","Sana's brother a pilot is brave.","A) Sana's brother, a pilot is brave.","Sana's is the possessive form, a pilot is an appositive.","9"
"Possessives and Appositives","85","What is the possessive form of 'fortune' in: For ___ favor, act now.","fortune's","fortunes","fortune","fortunes'","C) fortune","For fortune's favor omits s in some cases for clarity.","10"
"Possessives and Appositives","86","Choose the correct possessive form: This is ___ watch.","Arif's","Arifs","Arif","Arifs'","A) Arif's","Singular noun Arif takes 's for possessive.","2"
"Possessives and Appositives","87","Identify the appositive: The village, Rampur, is serene.","Rampur","village","is","serene","A) Rampur","An appositive renames another noun. Rampur renames village.","3"
"Possessives and Appositives","88","Correct the possessive form: The cats bed is soft.","cats'","cat's","catses","catss","A) cats'","Plural noun ending in s takes an apostrophe for possessive.","4"
"Possessives and Appositives","89","Which sentence uses a possessive correctly?","The flowers' petals are bright.","The flower petals are bright.","The flowers petal are bright.","The flower's petals is bright.","A) flowers'","Plural noun flowers takes an apostrophe for possessive.","5"
"Possessives and Appositives","90","What is the possessive form of 'mice'?","mices","mice's","mic","mices'","B) mice's","Plural noun mice takes 's for possessive.","6"
"Possessives and Appositives","91","Identify the appositive: My aunt, a writer, is famous.","writer","aunt","is","famous","A) writer","An appositive renames another noun. Writer renames aunt.","7"
"Possessives and Appositives","92","Correct the possessive form: The dogs collars are new.","dogs'","dog's","dogses","dogss","A) dogs'","Plural noun ending in s takes an apostrophe for possessive.","8"
"Possessives and Appositives","93","Which sentence correctly uses a possessive?","The singers' voices are clear.","The singer voices are clear.","The singers voice are clear.","The singer's voices is clear.","A) singers'","Plural noun singers takes an apostrophe for possessive.","9"
"Possessives and Appositives","94","What is the possessive form of 'Zara' in: This is ___ scarf.","Zara's","Zaras","Zara","Zaras'","A) Zara's","Singular noun Zara takes 's for possessive.","10"
"Possessives and Appositives","95","Identify the appositive: The dancer, Lila, is graceful.","Lila","dancer","is","graceful","A) Lila","An appositive renames another noun. Lila renames dancer.","3"
"Possessives and Appositives","96","Correct the possessive form: The childrens games are fun.","children's","childrens'","childs'","children","A) children's","Plural of child is children, possessive is children's.","4"
"Possessives and Appositives","97","Which sentence uses a possessive correctly?","The trees' branches are strong.","The tree branches are strong.","The trees branch are strong.","The tree's branches is strong.","A) trees'","Plural noun trees takes an apostrophe for possessive.","5"
"Possessives and Appositives","98","What is the possessive form of 'players'?","players'","player's","playerses","playerss","A) players'","Plural noun ending in s takes an apostrophe for possessive.","6"
"Possessives and Appositives","99","Identify the appositive: The author, Twain, wrote novels.","Twain","author","wrote","novels","A) Twain","An appositive renames another noun. Twain renames author.","7"
"Possessives and Appositives","100","Which sentence correctly uses both a possessive and an appositive?","Rohan's friend, a singer is talented.","Rohans' friend, a singer, is talented.","Rohan friend, a singer, is talented.","Rohan's friend a singer is talented.","A) Rohan's friend, a singer is talented.","Rohan's is the possessive form, a singer is an appositive.","8"
