"Subtopic","Question Number","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Difficulty"
"Kinds of Nouns","18","In the sentence: The oxygen in the air is vital, what type of noun is 'oxygen'?","Common","Material","Abstract","Collective","B) Material","A material noun names a substance. Oxygen is a gaseous material.","9"
"Kinds of Nouns","19","Which is a collective noun in: A ___ of ants marched in a line?","swarm","kindness","iron","Asia","A) swarm","A collective noun names a group. Swarm refers to a group of ants.","10"
"Kinds of Nouns","20","What type of noun is 'freedom' in: Freedom is precious?","Proper","Common","Abstract","Material","C) Abstract","An abstract noun names a concept. Freedom is a concept.","3"
"Kinds of Nouns","21","Identify the proper noun: The festival is held in Tokyo.","festival","Tokyo","held","in","B) Tokyo","A proper noun names a specific place. Tokyo is a specific city.","4"
"Kinds of Nouns","22","Which noun is a material noun?","love","wood","family","school","B) wood","A material noun names a substance. Wood is a material.","5"
"Kinds of Nouns","23","Fill in the blank: A ___ of students gathered in the hall.","group (collective)","joy (abstract)","paper (material)","London (proper)","A) group (collective)","A collective noun names a group. Group refers to a group of students.","6"
"Kinds of Nouns","24","Which sentence contains an abstract noun?","The chair is wooden.","The river flows fast.","Her patience was admirable.","The team won.","C) patience","An abstract noun names a quality. Patience is a quality.","7"
"Kinds of Nouns","25","What type of noun is 'United Nations' in: The United Nations met today?","Proper","Common","Collective","Abstract","A) Proper","A proper noun names a specific organization. United Nations is a specific entity.","8"
"Number","26","What is the plural form of 'child'?","childs","children","childes","childrens","B) children","Child forms its plural as children.","1"
"Number","27","Choose the correct plural form: The ___ are in the field.","cowes","cows","cowies","cowen","B) cows","Cow forms its plural by adding s.","2"
"Number","28","Which sentence uses the correct plural form?","The bookes are on the table.","The books are on the table.","The bookies are on the table.","The book are on the table.","B) books","Book forms its plural by adding s.","3"
"Number","29","Fill in the blank: The ___ of the story were exciting.","plots","plottes","plotes","plotses","A) plots","Plot forms its plural by adding s.","4"
"Number","30","What is the plural form of 'leaf'?","leafs","leaves","leafes","leavies","B) leaves","Leaf forms its plural by changing f to ves.","5"
"Number","31","Which noun is correctly pluralized?","dishs","dishes","dishies","dishen","B) dishes","Dish forms its plural by adding es.","6"
"Number","32","Choose the correct plural form: The ___ were barking.","dogs","doges","dogies","doggen","A) dogs","Dog forms its plural by adding s.","7"
"Number","33","In the sentence: The crises affected the economy, what is the plural form of 'crisis'?","crisises","crises","crisies","crisis","B) crises","Crisis forms its plural as crises.","8"
"Number","34","Which sentence uses the correct plural form?","The mouses ran away.","The mice ran away.","The mouse ran away.","The mices ran away.","B) mice","Mouse forms its plural as mice.","9"
"Number","35","What is the plural form of 'man-of-war'?","man-of-wars","men-of-wars","men-of-war","mans-of-war","C) men-of-war","The compound noun man-of-war pluralizes the main noun, man, to men.","10"
"Number","36","Fill in the blank: The ___ are in the zoo.","lion","lions","liones","lionies","B) lions","Lion forms its plural by adding s.","2"
"Number","37","Which noun is correctly pluralized?","babys","babies","babie","babyes","B) babies","Baby forms its plural by changing y to ies.","3"
"Number","38","Choose the correct plural form: The ___ were flying.","birds","birdes","birdies","birden","A) birds","Bird forms its plural by adding s.","4"
"Number","39","What is the plural form of 'wife'?","wifes","wives","wifees","wifies","B) wives","Wife forms its plural by changing f to ves.","5"
"Number","40","Which sentence uses the correct plural form?","The tooths hurt.","The teeth hurt.","The teethes hurt.","The tooth hurt.","B) teeth","Tooth forms its plural as teeth.","6"
"Number","41","Fill in the blank: The ___ of the book are torn.","pages","pagees","pagies","pageses","A) pages","Page forms its plural by adding s.","7"
"Number","42","Which noun is correctly pluralized?","thesis","theses","thesises","thesies","B) theses","Thesis forms its plural as theses.","8"
"Number","43","Choose the correct plural form: The ___ were grazing.","sheeps","sheep","sheepes","sheepies","B) sheep","Sheep is the same in singular and plural.","9"
"Number","44","What is the plural form of 'goose'?","gooses","geese","goosies","goosen","B) geese","Goose forms its plural as geese.","10"
"Number","45","Which sentence uses the correct plural form?","The womans worked hard.","The woman worked hard.","The women worked hard.","The womane worked hard.","C) women","Woman forms its plural as women.","3"
"Number","46","Fill in the blank: The ___ of the class are present.","students","studentes","studenties","studentses","A) students","Student forms its plural by adding s.","4"
"Number","47","Which noun is correctly pluralized?","citys","cities","citie","cityes","B) cities","City forms its plural by changing y to ies.","5"
"Number","48","Choose the correct plural form: The ___ were singing.","choirs","choires","choiries","choiren","A) choirs","Choir forms its plural by adding s.","6"
"Number","49","What is the plural form of 'calf'?","calfs","calves","calfes","calfies","B) calves","Calf forms its plural by changing f to ves.","7"
"Number","50","Which sentence uses the correct plural form?","The basis of the argument are weak.","The bases of the arguments are weak.","The basises of the argument are weak.","The base of the arguments are weak.","B) bases","Basis forms its plural as bases. Argument forms its plural as arguments.","8"
"Gender","51","What gender does the noun 'king' denote?","Feminine","Masculine","Common","Neuter","B) Masculine","King refers to a male person.","1"
"Gender","52","Choose the feminine form of 'actor'.","actress","actres","acter","actrice","A) actress","The feminine form of actor is actress.","2"
"Gender","53","Which noun is of common gender?","lion","lioness","student","table","C) student","A common gender noun refers to both male and female. Student fits this.","3"
"Gender","54","Correct the pronoun error: My sister is a doctor. He works hard.","She","It","They","No change","A) She","Sister is feminine, so he should be she.","4"
"Gender","55","Which noun is neuter gender?","professor","book","queen","brother","B) book","Neuter gender nouns denote inanimate objects. Book is inanimate.","5"
"Gender","56","What gender does the noun 'goddess' denote?","Masculine","Feminine","Common","Neuter","B) Feminine","Goddess refers to a female deity.","6"
"Gender","57","Choose the feminine form of 'drake'.","duck","drakess","drakette","drace","A) duck","The feminine form of drake is duck.","7"
"Gender","58","Which noun is of common gender?","uncle","aunt","doctor","pen","C) doctor","A common gender noun refers to both male and female. Doctor fits this.","8"
"Gender","59","Correct the pronoun error: The dog is loyal. She guards the house.","He","It","They","No change","B) It","Dog is typically neuter unless gender is specified, so she should be it.","9"
"Gender","60","Which noun is neuter gender?","minister","camera","gander","goose","B) camera","Neuter gender nouns denote inanimate objects. Camera is inanimate.","10"
"Gender","61","What gender does the noun 'prince' denote?","Feminine","Masculine","Common","Neuter","B) Masculine","Prince refers to a male person.","2"
"Gender","62","Choose the feminine form of 'lord'.","lady","lordess","lordette","lorde","A) lady","The feminine form of lord is lady.","3"
"Gender","63","Which noun is of common gender?","stag","doe","sibling","bed","C) sibling","A common gender noun refers to both male and female. Sibling fits this.","4"
"Gender","64","Correct the pronoun error: My aunt is kind. He helps everyone.","She","It","They","No change","A) She","Aunt is feminine, so he should be she.","5"
"Gender","65","Which noun is neuter gender?","policewoman","dress","policeman","policeperson","B) dress","Neuter gender nouns denote inanimate objects. Dress is inanimate.","6"
"Gender","66","What gender does the noun 'hostess' denote?","Masculine","Feminine","Common","Neuter","B) Feminine","Hostess refers to a female person.","7"
"Gender","67","Choose the feminine form of 'bull'.","cow","bulless","bullette","bulla","A) cow","The feminine form of bull is cow.","8"
"Gender","68","Which noun is of common gender?","god","goddess","professor","flower","C) professor","A common gender noun refers to both male and female. Professor fits this.","9"
"Gender","69","Correct the pronoun error: The table is new. He is shiny.","She","It","They","No change","B) It","Table is neuter, so he should be it.","10"
"Gender","70","Which noun is neuter gender?","lion","bird","chair","lioness","C) chair","Neuter gender nouns denote inanimate objects. Chair is inanimate.","3"
"Gender","71","What gender does the noun 'emperor' denote?","Feminine","Masculine","Common","Neuter","B) Masculine","Emperor refers to a male person.","4"
"Gender","72","Choose the feminine form of 'fox'.","vixen","foxess","foxette","foxa","A) vixen","The feminine form of fox is vixen.","5"
"Gender","73","Which noun is of common gender?","brother","sister","parent","pillow","C) parent","A common gender noun refers to both male and female. Parent fits this.","6"
"Gender","74","Correct the pronoun error: My cousin is talented. He sings well.","She","It","They","No change","C) They","Cousin is common gender, so he should be they to be gender-neutral.","7"
"Gender","75","Which noun is neuter gender?","guest","principal","office","host","C) office","Neuter gender nouns denote inanimate objects. Office is inanimate.","8"
"Possessives and Appositives","76","Choose the correct possessive form: This is ___ book.","Salma's","Salmas","Salma","Salmas'","A) Salma's","Singular noun Salma takes 's for possessive.","1"
"Possessives and Appositives","77","What is the possessive form of 'girls'?","girls'","girl's","girlses","girlss","A) girls'","Plural noun ending in s takes an apostrophe for possessive.","2"
"Possessives and Appositives","78","Identify the appositive in the sentence: Mr. Khan, our teacher, is kind.","Mr. Khan","our teacher","is","kind","B) our teacher","An appositive renames another noun. Our teacher renames Mr. Khan.","3"
"Possessives and Appositives","79","Correct the possessive form: The childrens books are lost.","children's","childrens'","childs'","children","A) children's","Plural of child is children, possessive is children's.","4"
"Possessives and Appositives","80","Which sentence correctly uses a possessive?","The dogs tail is long.","The dog's tail is long.","The dogs' tail is long.","The dog tail is long.","B) dog's","Singular noun dog takes 's for possessive.","5"
"Possessives and Appositives","81","What is the possessive form of 'men'?","mens","men's","men","mens'","B) men's","Plural noun men takes 's for possessive.","6"
"Possessives and Appositives","82","Identify the appositive: My friend, Nazrul, is a poet.","Nazrul","friend","is","poet","A) Nazrul","An appositive renames another noun. Nazrul renames friend.","7"
"Possessives and Appositives","83","Correct the possessive form: The womans club is open.","women's","woman's","womens'","woman","A) women's","Plural of woman is women, possessive is women's.","8"
"Possessives and Appositives","84","Which sentence correctly uses both a possessive and an appositive?","Rina's sister, a doctor is kind.","Rinas' sister, a doctor, is kind.","Rina sister, a doctor, is kind.","Rina's sister a doctor is kind.","A) Rina's sister, a doctor is kind.","Rina's is the possessive form, a doctor is an appositive.","9"
"Possessives and Appositives","85","What is the possessive form of 'conscience' in: For ___ sake, be honest.","conscience's","consciences","conscience","consciences'","C) conscience","For conscience' sake omits s to avoid hissing sound.","10"
"Possessives and Appositives","86","Choose the correct possessive form: This is ___ house.","Karim's","Karims","Karim","Karims'","A) Karim's","Singular noun Karim takes 's for possessive.","2"
"Possessives and Appositives","87","Identify the appositive: The city, Dhaka, is crowded.","Dhaka","city","is","crowded","A) Dhaka","An appositive renames another noun. Dhaka renames city.","3"
"Possessives and Appositives","88","Correct the possessive form: The boys club is closed.","boys'","boy's","boyses","boyss","A) boys'","Plural noun ending in s takes an apostrophe for possessive.","4"
"Possessives and Appositives","89","Which sentence uses a possessive correctly?","The cats' whiskers are long.","The cat whiskers are long.","The cats whisker are long.","The cat's whiskers is long.","A) cats'","Plural noun cats takes an apostrophe for possessive.","5"
"Possessives and Appositives","90","What is the possessive form of 'women'?","womans","women's","woman","womens'","B) women's","Plural noun women takes 's for possessive.","6"
"Possessives and Appositives","91","Identify the appositive: My brother, a lawyer, is busy.","lawyer","brother","is","busy","A) lawyer","An appositive renames another noun. Lawyer renames brother.","7"
"Possessives and Appositives","92","Correct the possessive form: The horses tails are short.","horses'","horse's","horses","horses's","A) horses'","Plural noun ending in s takes an apostrophe for possessive.","8"
"Possessives and Appositives","93","Which sentence correctly uses a possessive?","The students' books are new.","The student books are new.","The students book are new.","The student's books is new.","A) students'","Plural noun students takes an apostrophe for possessive.","9"
"Possessives and Appositives","94","What is the possessive form of 'Nazrul' in: This is ___ pen.","Nazrul's","Nazruls","Nazrul","Nazruls'","A) Nazrul's","Singular noun Nazrul takes 's for possessive.","10"
"Possessives and Appositives","95","Identify the appositive: The leader, Ali, spoke clearly.","Ali","leader","spoke","clearly","A) Ali","An appositive renames another noun. Ali renames leader.","3"
"Possessives and Appositives","96","Correct the possessive form: The childrens toys are broken.","children's","childrens'","childs'","children","A) children's","Plural of child is children, possessive is children's.","4"
"Possessives and Appositives","97","Which sentence uses a possessive correctly?","The dogs' bones are buried.","The dog bones are buried.","The dogs bone are buried.","The dog's bones is buried.","A) dogs'","Plural noun dogs takes an apostrophe for possessive.","5"
"Possessives and Appositives","98","What is the possessive form of 'teachers'?","teachers'","teacher's","teacherses","teacherss","A) teachers'","Plural noun ending in s takes an apostrophe for possessive.","6"
"Possessives and Appositives","99","Identify the appositive: The poet, Tagore, is famous.","Tagore","poet","is","famous","A) Tagore","An appositive renames another noun. Tagore renames poet.","7"
"Possessives and Appositives","100","Which sentence correctly uses both a possessive and an appositive?","Salim's friend, a chef is talented.","Salims' friend, a chef, is talented.","Salim friend, a chef, is talented.","Salim's friend a chef is talented.","A) Salim's friend, a chef is talented.","Salim's is the possessive form, a chef is an appositive.","8"
