Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
Possessives and Appositives,89,Which sentence uses a possessive correctly?,The trees' leaves are green.,The tree leaves are green.,The trees leaf are green.,The tree's leaves is green.,A) trees',Plural noun trees takes an apostrophe for possessive.,5
Possessives and Appositives,90,What is the possessive form of 'babies'?,babys,babies',babie,babieses,B) babies',Plural noun ending in s takes an apostrophe for possessive.,6
Possessives and Appositives,91,"Identify the appositive: My sister, a painter, is creative.",painter,sister,is,creative,A) painter,An appositive renames another noun. Painter renames sister.,7
Possessives and Appositives,92,Correct the possessive form: The cats toys are scattered.,cats',cat's,catses,catss,A) cats',Plural noun ending in s takes an apostrophe for possessive.,8
Possessives and Appositives,93,Which sentence correctly uses a possessive?,The workers' tools are sharp.,The worker tools are sharp.,The workers tool are sharp.,The worker's tools is sharp.,A) workers',Plural noun workers takes an apostrophe for possessive.,9
Possessives and Appositives,94,What is the possessive form of 'Rahim' in: This is ___ bike.,Rahim's,Rahims,Rahim,Rahims',A) Rahim's,Singular noun Rahim takes 's for possessive.,10
Possessives and Appositives,95,"Identify the appositive: The artist, Mona, is talented.",Mona,artist,is,talented,A) Mona,An appositive renames another noun. Mona renames artist.,3
Possessives and Appositives,96,Correct the possessive form: The mens hats are new.,men's,mens',mans',men,A) men's,"Plural of man is men, possessive is men's.",4
Possessives and Appositives,97,Which sentence uses a possessive correctly?,The horses' hooves are clean.,The horse hooves are clean.,The horses hoof are clean.,The horse's hooves is clean.,A) horses',Plural noun horses takes an apostrophe for possessive.,5
Possessives and Appositives,98,What is the possessive form of 'students'?,students',student's,studentses,studentss,A) students',Plural noun ending in s takes an apostrophe for possessive.,6
Possessives and Appositives,99,"Identify the appositive: The scientist, Edison, invented the bulb.",Edison,scientist,invented,bulb,A) Edison,An appositive renames another noun. Edison renames scientist.,7
Possessives and Appositives,100,Which sentence correctly uses both a possessive and an appositive?,"Lila's cousin, a poet is famous.","Lilas' cousin, a poet, is famous.","Lila cousin, a poet, is famous.",Lila's cousin a poet is famous.,"A) Lila's cousin, a poet is famous.","Lila's is the possessive form, a poet is an appositive.",8
