Question_Number,Subtopic,Question,Option_1,Option_2,Option_3,Option_4,Correct_Answer,Difficulty_Level,Explanation
19,Set Operations,"If A={x,y}, B={z}, what is A × B?","{(x,z), (y,z)}","{(z,x), (z,y)}","{(x,y), (y,z)}","{(x,x), (y,y)}",1,4,"A × B={(x,y): x ∈ A, y ∈ B} (page 6). A × B={(x,z), (y,z)}."
20,Set Operations,"Given U={1,2,3,4,5}, A={2,3}, B={3,4}, what is A' ∩ B'?","{1,5}","{2,3,4}",{3},∅,1,5,"A'={1,4,5}, B'={1,2,5}, A' ∩ B'={1,5} (page 6)."
21,Set Operations,"If A={1,2}, B={2,3}, U={1,2,3,4}, what is A ∪ B'?","{1,2,4}","{1,2,3}","{2,3,4}","{1,4}",1,6,"B'={1,4}, A ∪ B'={1,2,4} (page 6)."
22,Set Operations,"Which set is disjoint with A={2,4,6}?","{1,3,5}","{2,3,4}","{4,6,8}","{2,5,6}",1,7,"Disjoint sets have A ∩ B=∅ (page 6). A ∩ {1,3,5}=∅."
23,Set Operations,"If A={x: x is even, x ≤ 8}, B={x: x is odd, x ≤ 8}, what is A ∩ B?","{2,4,6,8}","{1,3,5,7}",∅,"{1,2,3,4,5,6,7,8}",3,8,"A={2,4,6,8}, B={1,3,5,7}, A ∩ B=∅ (page 6)."
24,Set Operations,"If A={x,y}, B={p,q}, what is n(A × B)?",2,4,6,8,2,9,"A × B={(x,p), (x,q), (y,p), (y,q)}, n(A × B)=n(A) × n(B)=2 × 2=4 (page 6)."
25,Set Operations,"If U={p,q,r,s}, A={p,q}, B={q,r}, what is (A ∩ B)'?","{p,r,s}",{q},"{p,s}","{r,s}",3,10,"A ∩ B={q}, (A ∩ B)'=U \ {q}={p,r,s} (page 6)."
26,Set Operations,"If A={3,4}, B={4,5}, what is A \ B?",{3},{4},"{3,4,5}",∅,1,2,"A \ B={x: x ∈ A, x ∉ B} (page 3). A \ B={3}."
27,Set Operations,"Given A={x: x ∈ N, x ≤ 5}, B={x: x ∈ N, x ≥ 3}, what is A ∩ B?","{1,2,3,4,5}","{3,4,5}","{1,2,3}",∅,2,4,"A={1,2,3,4,5}, B={3,4,5,…}, A ∩ B={3,4,5} (page 6)."
28,Set Operations,"If A={p}, B={q}, what is A × B ∪ B × A?","{(p,q), (q,p)}","{(p,p), (q,q)}","{(p,q)}","{(q,p)}",1,6,"A × B={(p,q)}, B × A={(q,p)}, A × B ∪ B × A={(p,q), (q,p)} (page 6)."
29,Set Operations,"If U={1,2,3,4}, A={1,2}, B={3}, what is A' ∪ B'?","{3,4}","{1,2,3,4}","{1,2,3}",{4},2,8,"A'={3,4}, B'={1,2,4}, A' ∪ B'={1,2,3,4} (page 6)."
30,Set Operations,"If A={2,3,4}, B={5,6}, what is A × B?","{(2,5), (2,6), (3,5), (3,6), (4,5), (4,6)}","{(5,2), (6,2), (5,3), (6,3), (5,4), (6,4)}","{(2,5), (3,6)}","{(2,6), (4,5)}",1,5,"A × B={(x,y): x ∈ A, y ∈ B} (page 6). A × B={(2,5), (2,6), (3,5), (3,6), (4,5), (4,6)}."
31,Set Propositions,Which law states A ∪ (B ∩ C) = (A ∪ B) ∩ (A ∪ C)?,Commutative,Associative,Distributive,De Morgan’s,3,1,This is the distributive law (page 7).
32,Set Propositions,"If A ∩ B = B ∩ A, which law is illustrated?",Commutative,Associative,Distributive,De Morgan’s,1,2,The commutative law states A ∩ B = B ∩ A (page 7).
33,Set Propositions,Which is true for any set A?,A ∪ ∅ = ∅,A ∩ ∅ = ∅,A ∪ U = ∅,A ∩ U = U,2,3,"A ∩ ∅ = ∅ (page 7, Other Formulas)."
34,Set Propositions,"If (A ∪ B)' = A' ∩ B', which law is this?",Commutative,Associative,Distributive,De Morgan’s,4,4,This is De Morgan’s law (page 9).
35,Set Propositions,"If A ⊆ B, which is true?",A ∪ B = A,A ∩ B = B,A ∪ B = B,A ∩ B' = ∅,3,5,"If A ⊆ B, A ∪ B = B (page 7, Other Formulas)."
36,Set Propositions,Which illustrates the associative law for intersection?,A ∩ (B ∩ C) = (A ∩ B) ∩ C,A ∩ B = B ∩ A,A ∩ (B ∪ C) = (A ∩ B) ∪ (A ∩ C),A \ B = A ∩ B',1,6,The associative law is A ∩ (B ∩ C) = (A ∩ B) ∩ C (page 7).
37,Set Propositions,"If A × (B ∪ C) = (A × B) ∪ (A × C), which proposition is this?",Commutative,Associative,Distributive,De Morgan’s,3,7,This is a distributive property for Cartesian products (page 10).
38,Set Propositions,Which is equivalent to A ∩ B'?,A \ B,A ∪ B,A' ∩ B,A ∩ B,1,8,"A \ B = A ∩ B' (page 9, Proposition 2)."
39,Set Propositions,"If A ⊆ B and B ⊆ A, what is true?",A ≠ B,A = B,A ⊄ B,B ⊄ A,2,9,"A ⊆ B and B ⊆ A implies A = B (page 10, Proposition 3)."
40,Set Propositions,Which is true for any set A?,A ∪ B ⊆ A,A ∩ B ⊆ A,A \ B = A ∪ B,A × B ⊆ A,2,10,"A ∩ B ⊆ A (page 10, Proposition 6)."
41,Set Propositions,"If (A ∩ B ∩ C)' = A' ∪ B' ∪ C', which law is this?",Commutative,Associative,Distributive,De Morgan’s,4,6,"This is an extension of De Morgan’s law (page 11, Activity 4)."
42,Set Propositions,"If A ∩ B = ∅, which is true?",A ∪ B = A,A ∩ B = A,A ⊆ B',A \ B = B,3,7,"If A ∩ B = ∅, A ⊆ B' (page 11, Activity 3)."
43,Set Propositions,"If A ⊆ B, what is A ∩ (B \ A)?",A,B,∅,A ∩ B,3,8,"If A ⊆ B, B \ A = B ∩ A', so A ∩ (B \ A) = A ∩ (B ∩ A') = ∅ (page 11, Activity 3)."
44,Set Propositions,"Which is true for any sets A, B?",A ∪ B ⊆ A,A ∩ B ⊆ B,A \ B = A ∪ B,A × B = B × A,2,5,"A ∩ B ⊆ B (page 10, Proposition 6)."
45,Finite/Infinite Sets and Equivalence,"What is n({x,y,z,w})?",3,4,5,2,2,1,"n(A) is the number of elements (page 14). n({x,y,z,w})=4."
46,Finite/Infinite Sets and Equivalence,Which set is finite?,{x: x ∈ R},"{a,b,c,d,e}",{x: x ∈ Z},{x: x ∈ N},2,2,"A finite set has a fixed number of elements (page 14). {a,b,c,d,e} is finite."
47,Finite/Infinite Sets and Equivalence,"If A={x,y}, B={p,q}, how many one-one correspondences exist?",1,2,3,4,2,3,"For n=2, n!=2 one-one correspondences exist (page 11). E.g., {(x,p), (y,q)}, {(x,q), (y,p)}."
48,Finite/Infinite Sets and Equivalence,"If A={1,2,3}, B={a,b,c}, which is a one-one correspondence?","{(1,a), (2,b), (3,c)}","{(1,a), (2,a), (3,b)}","{(1,b), (2,c), (3,c)}","{(1,c), (2,b), (3,a)}",1,4,"A one-one correspondence pairs each element uniquely (page 11). {(1,a), (2,b), (3,c)} is valid."
49,Finite/Infinite Sets and Equivalence,"Which set is equivalent to {a,b,c,d}?","{1,2,3}","{p,q,r,s}","{x,y,z}","{1,2,3,4,5}",2,5,"Equivalent sets have a one-one correspondence (page 12). {p,q,r,s} ∼ {a,b,c,d}."
50,Finite/Infinite Sets and Equivalence,"If A={1,2,3,4}, B is a proper subset, what is true?",n(B) < n(A),n(B) = n(A),n(B) > n(A),B ∼ A,1,6,"If B is a proper subset of finite A, n(B) < n(A) (page 14, Proposition 6)."
51,Finite/Infinite Sets and Equivalence,"Is {2,4,6,…} infinite?","Yes, it has a proper subset equivalent to itself","No, it has a fixed number of elements","Yes, it is a subset of N","No, it is equivalent to {1,2,3}",1,7,"An infinite set has a proper subset equivalent to itself (page 14, Proposition 7). {2,4,6,…} ∼ {4,6,…}."
52,Finite/Infinite Sets and Equivalence,"If A={a,b}, B={c,d}, what is n(A ∪ B)?",2,4,3,1,2,8,"For disjoint sets, n(A ∪ B) = n(A) + n(B) (page 15). n(A ∪ B)=2+2=4."
53,Finite/Infinite Sets and Equivalence,"If A ∼ B, which is true?",n(A) ≠ n(B),A = B,n(A) = n(B),A ⊆ B,3,9,"If A ∼ B and A is finite, n(A) = n(B) (page 14, Note 3)."
54,Finite/Infinite Sets and Equivalence,"If A={p,q,r}, what is n(P(A))?",6,8,4,2,2,10,"For n=3, n(P(A))=2^3=8 (page 4)."
55,Finite/Infinite Sets and Equivalence,Is {∅} finite?,"Yes, n({∅})=1","No, it has no elements","Yes, n({∅})=0","No, it is equivalent to N",1,3,"{∅} has one element, so n({∅})=1 (page 14)."
56,Finite/Infinite Sets and Equivalence,"If A={x: x ∈ N, x ≤ 6}, what is n(A)?",5,6,7,4,2,4,"A={1,2,3,4,5,6}, n(A)=6 (page 14)."
57,Finite/Infinite Sets and Equivalence,"Which set is equivalent to {p,q,r}?","{1,2,3,4}","{x,y,z}","{a,b}","{1,2,3,4,5}",2,6,"{x,y,z} has 3 elements and is equivalent to {p,q,r} (page 12)."
58,Finite/Infinite Sets and Equivalence,"If A is infinite, which is true?",n(A) is finite,A has a proper subset equivalent to A,A ⊆ ∅,n(A)=0,2,8,"A is infinite if it has a proper subset equivalent to A (page 14, Proposition 7)."
59,Real-Life Problems,"In a class of 50, 35 like physics, 25 like chemistry, 15 like both. How many like only physics?",20,15,25,10,1,1,"n(P \ C) = n(P) - n(P ∩ C) = 35 - 15 = 20 (page 17, Example 15)."
60,Real-Life Problems,"In a group of 60, 45 play soccer, 40 play volleyball, all play at least one. How many play both?",25,15,35,45,1,2,"n(S ∪ V) = n(S) + n(V) - n(S ∩ V), 60 = 45 + 40 - n(S ∩ V), n(S ∩ V)=25 (page 17, Example 15)."
61,Real-Life Problems,"In a group of 40, 30 speak Spanish, 20 speak Italian, 10 speak both. How many speak only Spanish?",20,10,30,15,1,3,"n(S \ I) = n(S) - n(S ∩ I) = 30 - 10 = 20 (page 17, Example 15)."
62,Real-Life Problems,"In a group of 80, 60 like reading, 50 like writing, 30 like both. How many like neither?",0,10,20,30,1,4,"n(R ∪ W) = n(R) + n(W) - n(R ∩ W) = 60 + 50 - 30 = 80. Neither = 80 - 80 = 0 (page 19, Activity 4)."
63,Real-Life Problems,"In a class of 45, 35 take math, 25 take science, 15 take both. How many take only science?",10,15,20,5,1,5,"n(S \ M) = n(S) - n(S ∩ M) = 25 - 15 = 10 (page 17, Example 15)."
64,Real-Life Problems,"In a survey of 90, 70 read journal A, 60 read B, 40 read both. How many read neither?",0,10,20,30,1,6,"n(A ∪ B) = n(A) + n(B) - n(A ∩ B) = 70 + 60 - 40 = 90. Neither = 90 - 90 = 0 (page 19, Activity 4)."
65,Real-Life Problems,"In a group of 55, 40 like history, 35 like geography, all like at least one. How many like both?",20,10,30,40,1,7,"n(H ∪ G) = n(H) + n(G) - n(H ∩ G), 55 = 40 + 35 - n(H ∩ G), n(H ∩ G)=20 (page 17, Example 15)."
66,Real-Life Problems,"In a class of 65, 50 take biology, 45 take chemistry, 30 take both. How many take only biology?",20,25,30,15,1,8,"n(B \ C) = n(B) - n(B ∩ C) = 50 - 30 = 20 (page 17, Example 15)."
67,Real-Life Problems,"In a group of 85, 65 like tea, 55 like coffee, 40 like both. How many like only coffee?",15,20,25,30,2,9,"n(C \ T) = n(C) - n(C ∩ T) = 55 - 40 = 15 (page 17, Example 15)."
68,Real-Life Problems,"In a group of 95, 75 play football, 65 play cricket, 50 play both. How many play neither?",5,10,15,20,1,10,"n(F ∪ C) = n(F) + n(C) - n(F ∩ C) = 75 + 65 - 50 = 90. Neither = 95 - 90 = 5 (page 19, Activity 4)."
69,Real-Life Problems,"In a class of 50, 35 like art, 30 like music, 20 like both. How many like only art?",15,10,20,5,1,3,"n(A \ M) = n(A) - n(A ∩ M) = 35 - 20 = 15 (page 17, Example 15)."
70,Real-Life Problems,"In a group of 60, 45 take physics, 40 take math, all take at least one. How many take both?",25,15,35,45,1,5,"n(P ∪ M) = n(P) + n(M) - n(P ∩ M), 60 = 45 + 40 - n(P ∩ M), n(P ∩ M)=25 (page 17, Example 15)."
71,Real-Life Problems,"In a survey of 70, 55 read book X, 50 read book Y, 35 read both. How many read only book Y?",15,20,25,10,1,7,"n(Y \ X) = n(Y) - n(Y ∩ X) = 50 - 35 = 15 (page 17, Example 15)."
72,Real-Life Problems,"In a group of 80, 65 like movie A, 55 like movie B, 40 like both. How many like neither?",0,10,20,30,1,8,"n(A ∪ B) = n(A) + n(B) - n(A ∩ B) = 65 + 55 - 40 = 80. Neither = 80 - 80 = 0 (page 19, Activity 4)."
73,Relations and Functions,What is the domain of f(x) = x - 1?,R,N,Z,Q,1,1,"The domain of f(x) = x - 1 is all real numbers, R (page 25, Definition 6)."
74,Relations and Functions,"If f(x) = 4x, domain {0,1}, what is the range?","{0,4}","{0,1,4}","{1,4}","{4,8}",1,2,"f(0)=0, f(1)=4, range={0,4} (page 25, Example 21)."
75,Relations and Functions,Which is a function?,"{(1,1), (1,2)}","{(1,1), (2,2)}","{(2,1), (2,2)}","{(1,2), (1,3)}",2,3,"A function has unique images for each domain element (page 25, Definition 5). {(1,1), (2,2)} is a function."
76,Relations and Functions,"What is the range of f(x) = x² - 1, domain {0,1,2}?","{-1,0,3}","{0,1,2}","{0,3,8}","{-1,1,3}",1,4,"f(0)=-1, f(1)=0, f(2)=3, range={-1,0,3} (page 27, Example 27)."
77,Relations and Functions,"Is f(x) = 3x - 1, x ∈ R, one-one?","Yes, f(x₁) = f(x₂) implies x₁ = x₂","No, f(-x) = f(x)","Yes, the graph is a parabola","No, the domain is infinite",1,5,"f(x₁) = f(x₂) ⇒ 3x₁ - 1 = 3x₂ - 1 ⇒ x₁ = x₂, so one-one (page 30, Example 30)."
78,Relations and Functions,What is the domain of f(x) = 1/(x+2)?,R,R \ {-2},R \ {0},R \ {2},2,6,"f(x) is undefined at x=-2, so domain=R \ {-2} (page 29, Example 29)."
79,Relations and Functions,"If f(x) = x - 3, what is f⁻¹(x)?",x + 3,x - 3,1/x,x²,1,7,"y = x - 3 ⇒ x = y + 3, f⁻¹(x) = x + 3 (page 27, Definition 9)."
80,Relations and Functions,"Is f(x) = x³ + 1, x ∈ R, onto?","Yes, every y has a preimage","No, negative y have no preimage","Yes, the domain is R","No, the range is limited",1,8,"For y = x³ + 1, x = (y-1)^(1/3) ∈ R, so onto (page 32, Example 34)."
81,Relations and Functions,"If f(x) = 3x, domain {1,2,3}, what is f⁻¹(6)?",2,1,3,4,1,9,"f(x) = 6 ⇒ 3x = 6 ⇒ x = 2, f⁻¹(6)=2 (page 31, Example 32)."
82,Relations and Functions,Which relation is not a function?,"{(x,y): y = x - 1}","{(x,y): y = x² + 1}","{(x,y): x² + y² = 4}","{(x,y): y = √x}",3,10,"x² + y² = 4 has two y-values per x, not a function (page 35, Example 35)."
83,Relations and Functions,"What is the range of f(x) = 1/(x+1), x ≠ -1?",R,R \ {0},R \ {1},R \ {-1},2,5,"y = 1/(x+1), y ≠ 0, range=R \ {0} (page 29, Example 29)."
84,Relations and Functions,"If f(x) = x² - 2, domain {-1,0,1}, what is the range?","{-1,0,1}","{-2,-1,0}","{-2,0,2}","{-1,1,3}",1,4,"f(-1)=1, f(0)=0, f(1)=1, range={0,1} (page 27, Example 27)."
85,Relations and Functions,"Is f(x) = x² - 1, x ∈ R, one-one?","Yes, f(x₁) = f(x₂) implies x₁ = x₂","No, f(-x) = f(x)","Yes, the graph is a parabola","No, the domain is infinite",2,7,"f(-x) = f(x), e.g., f(-1) = f(1) = 0, not one-one (page 30, Example 31)."
86,Relations and Functions,What is the domain of f(x) = √(5-x)?,{x ∈ R: x ≤ 5},{x ∈ R: x ≥ 5},{x ∈ R: x < 5},{x ∈ R: x > 5},1,5,"5-x ≥ 0 ⇒ x ≤ 5, domain={x ∈ R: x ≤ 5} (page 29, Example 29)."
87,Relations and Functions,"If f(x) = 4x + 1, what is f⁻¹(9)?",2,1,3,4,1,8,"f(x) = 9 ⇒ 4x + 1 = 9 ⇒ x = 2, f⁻¹(9)=2 (page 31, Example 32)."
88,Graphs of Functions and Relations,What is the slope of f(x) = 3x + 2?,3,2,1,0,1,1,"For f(x) = mx + b, slope m=3 (page 33, Linear Functions)."
89,Graphs of Functions and Relations,What is the y-intercept of f(x) = 2x + 5?,2,5,0,-5,2,2,"For f(x) = mx + b, y-intercept b=5 (page 33, Linear Functions)."
90,Graphs of Functions and Relations,Which is the graph of y = x² + 1?,A straight line,A parabola,A circle,A hyperbola,2,3,"The graph of y = x² + 1 is a parabola (page 34, Quadratic Function)."
91,Graphs of Functions and Relations,What is the center of the circle x² + y² = 16?,"(0,0)","(4,4)","(1,1)","(16,16)",1,4,"x² + y² = r² has center (0,0), r=4 (page 35, Graph of a Circle)."
92,Graphs of Functions and Relations,Which relation is a function based on its graph?,x² + y² = 9,y = x - 1,x = y²,y² = x,2,5,"y = x - 1 is a linear function, a straight line (page 33, Linear Functions)."
93,Graphs of Functions and Relations,What is the radius of the circle (x-2)² + (y-3)² = 25?,5,25,2,3,1,6,"(x-p)² + (y-q)² = r², r=√25=5 (page 35, Graph of a Circle)."
94,Graphs of Functions and Relations,What is the vertex of y = x² + 4x + 3?,"(-2,-1)","(0,3)","(-2,1)","(2,-1)",1,7,"y = (x+2)² - 1, vertex at (-2,-1) (page 34, Quadratic Function)."
95,Graphs of Functions and Relations,Which is the graph of y = 3x + 2?,A parabola,A straight line,A circle,A hyperbola,2,8,"y = 3x + 2 is a linear function, a straight line (page 33, Linear Functions)."
96,Graphs of Functions and Relations,What is the minimum value of y = x² - 4x + 5?,1,2,3,4,1,9,"y = (x-2)² + 1, minimum at x=2, y=1 (page 34, Quadratic Function)."
97,Graphs of Functions and Relations,Which relation is not a function?,y = 2x - 1,y = x² + 2,x² + y² = 16,y = √x,3,10,"x² + y² = 16 has two y-values per x, not a function (page 35, Example 35)."
98,Graphs of Functions and Relations,What is the slope of y = -2x + 3?,-2,2,3,0,1,3,"For y = mx + b, slope m=-2 (page 33, Linear Functions)."
99,Graphs of Functions and Relations,What is the y-intercept of y = x² + 2?,0,2,1,-2,2,4,"For y = x² + b, y-intercept b=2 (page 34, Quadratic Function)."
100,Graphs of Functions and Relations,What is the radius of x² + y² = 36?,6,36,1,0,1,6,"x² + y² = r², r=√36=6 (page 35, Graph of a Circle)."
