Question_Number,Subtopic,Question,Option_1,Option_2,Option_3,Option_4,Correct_Answer,Difficulty_Level,Explanation
17,Set Operations,"Given A={1,2,3} and B={2,3,4}, what is A ∪ B?","{1,2,3,4}","{2,3}","{1,4}",∅,1,2,"A ∪ B contains all elements in A or B (page 5). A ∪ B={1,2,3,4}."
18,Set Operations,"If U={1,2,3,4,5}, A={1,2,3}, B={2,4}, what is A \ B?","{1,3}",{2},"{1,2,3,4}",{5},1,3,"A \ B={x: x ∈ A, x ∉ B} (page 3). A \ B={1,3}."
19,Set Operations,"If A={a,b} and B={b,c}, what is A × B?","{(a,b), (a,c), (b,b), (b,c)}","{(b,a), (c,a), (b,b), (c,b)}","{(a,b), (b,c)}","{(a,a), (b,b)}",1,4,"A × B={(x,y): x ∈ A, y ∈ B} (page 6). A × B={(a,b), (a,c), (b,b), (b,c)}."
20,Set Operations,"Given U={1,2,3,4}, A={1,2}, B={2,3}, what is A' ∩ B'?",{4},"{1,2,3}",{2},∅,1,5,"A'={3,4}, B'={1,4}, A' ∩ B'={4} (page 6)."
21,Set Operations,"If A={1,2,3} and B={3,4}, what is A ∪ B'? with U={1,2,3,4,5}?","{1,2,3,5}","{1,2,3,4}","{3,4,5}","{1,2,5}",1,6,"B'={1,2,5}, A ∪ B'={1,2,3,5} (page 6)."
22,Set Operations,"Which of the following is a disjoint set with A={1,3,5}?","{2,4,6}","{1,2,3}","{3,5,7}","{1,4,5}",1,7,"Disjoint sets have A ∩ B=∅ (page 6). A ∩ {2,4,6}=∅."
23,Set Operations,"If A={x: x is odd, x ≤ 5}, B={x: x is even, x ≤ 5}, what is A ∩ B?","{1,3,5}","{2,4}",∅,"{1,2,3,4,5}",3,8,"A={1,3,5}, B={2,4}, A ∩ B=∅ (page 6)."
24,Set Operations,"If A={1,2} and B={3,4}, what is n(A × B)?",2,4,6,8,2,9,"A × B={(1,3), (1,4), (2,3), (2,4)}, n(A × B)=n(A) × n(B)=2 × 2=4 (page 6)."
25,Set Operations,"If U={a,b,c,d}, A={a,b}, B={b,c}, what is (A ∩ B)'?","{a,c,d}",{b},"{a,d}","{c,d}",3,10,"A ∩ B={b}, (A ∩ B)'=U \ {b}={a,c,d} (page 6)."
26,Set Operations,"If A={1,2} and B={2,3}, what is A \ B?",{1},{2},"{1,2,3}",∅,1,2,"A \ B={x: x ∈ A, x ∉ B} (page 3). A \ B={1}."
27,Set Operations,"Given A={x: x ≤ 3, x ∈ N}, B={x: x ≥ 2, x ∈ N}, what is A ∩ B?","{1,2,3}","{2,3}","{1,2}",∅,2,4,"A={1,2,3}, B={2,3,4,…}, A ∩ B={2,3} (page 6)."
28,Set Operations,"If A={a}, B={b}, what is A × B ∪ B × A?","{(a,b), (b,a)}","{(a,a), (b,b)}","{(a,b)}","{(b,a)}",1,6,"A × B={(a,b)}, B × A={(b,a)}, A × B ∪ B × A={(a,b), (b,a)} (page 6)."
29,Set Operations,"If U={1,2,3}, A={1}, B={2}, what is A' ∪ B'?","{2,3}","{1,2,3}","{1,2}",{3},2,8,"A'={2,3}, B'={1,3}, A' ∪ B'={1,2,3} (page 6)."
30,Set Operations,"If A={1,2,3}, B={4,5}, what is A × B?","{(1,4), (1,5), (2,4), (2,5), (3,4), (3,5)}","{(4,1), (5,1), (4,2), (5,2), (4,3), (5,3)}","{(1,4), (2,5)}","{(1,5), (3,4)}",1,5,"A × B={(x,y): x ∈ A, y ∈ B} (page 6). A × B={(1,4), (1,5), (2,4), (2,5), (3,4), (3,5)}."
31,Set Propositions,Which law states A ∩ (B ∪ C) = (A ∩ B) ∪ (A ∩ C)?,Commutative,Associative,Distributive,De Morgan’s,3,1,This is the distributive law (page 7).
32,Set Propositions,"If A ∪ B = B ∪ A, which law is illustrated?",Commutative,Associative,Distributive,De Morgan’s,1,2,The commutative law states A ∪ B = B ∪ A (page 7).
33,Set Propositions,Which of the following is true for any set A?,A ∩ ∅ = A,A ∪ ∅ = A,A ∪ U = A,A ∩ U = ∅,2,3,"A ∪ ∅ = A (page 7, Other Formulas)."
34,Set Propositions,"If (A ∩ B)' = A' ∪ B', which law is this?",Commutative,Associative,Distributive,De Morgan’s,4,4,This is De Morgan’s law (page 9).
35,Set Propositions,"If A ⊆ B, which is true?",A ∪ B = A,A ∩ B = B,A ∩ B = A,A ∪ B = ∅,3,5,"If A ⊆ B, A ∩ B = A (page 7, Other Formulas)."
36,Set Propositions,Which of the following illustrates the associative law?,A ∪ (B ∪ C) = (A ∪ B) ∪ C,A ∪ B = B ∪ A,A ∪ (B ∩ C) = (A ∪ B) ∩ (A ∪ C),A \ B = A ∩ B',1,6,The associative law is A ∪ (B ∪ C) = (A ∪ B) ∪ C (page 7).
37,Set Propositions,"If A × (B ∩ C) = (A × B) ∩ (A × C), which proposition is this?",Commutative,Associative,Distributive,De Morgan’s,3,7,This is a distributive property for Cartesian products (page 9).
38,Set Propositions,Which is equivalent to A \ B?,A ∪ B',A ∩ B',A' ∩ B,A ∪ B,2,8,"A \ B = A ∩ B' (page 9, Proposition 2)."
39,Set Propositions,"If A ⊆ B and B ⊆ C, what is true?",A ⊆ C,B ⊆ A,A = C,B = C,1,9,"If A ⊆ B and B ⊆ C, then A ⊆ C (page 10)."
40,Set Propositions,Which is true for any set A?,A ⊆ A ∪ B,A ∪ B ⊆ A,A ∩ B ⊆ B,A \ B = A ∪ B,1,10,"A ⊆ A ∪ B (page 10, Proposition 7)."
41,Set Propositions,"If (A ∪ B ∪ C)' = A' ∩ B' ∩ C', which law is this?",Commutative,Associative,Distributive,De Morgan’s,4,6,"This is an extension of De Morgan’s law (page 11, Activity 4)."
42,Set Propositions,Which is true if A ∩ B = ∅?,A ⊆ B',A ∪ B = A,A ∩ B = A,A \ B = B,1,7,"If A ∩ B = ∅, A ⊆ B' (page 11, Activity 3)."
43,Set Propositions,"If A ⊆ B, what is A ∪ (B \ A)?",A,B,A ∩ B,A ∪ B,2,8,"If A ⊆ B, A ∪ (B \ A) = B (page 11, Activity 3)."
44,Set Propositions,"Which is true for any sets A, B?",A ∩ B ⊆ A,A ∪ B ⊆ A,A \ B = A ∩ B,A × B = B × A,1,5,"A ∩ B ⊆ A (page 10, Proposition 6)."
45,Finite/Infinite Sets and Equivalence,"What is n({a,b,c})?",2,3,4,1,2,1,"n(A) is the number of elements (page 14). n({a,b,c})=3."
46,Finite/Infinite Sets and Equivalence,Which set is finite?,{x: x is a natural number},"{1,2,3,4}",{x: x is a real number},{x: x is an integer},2,2,"A finite set has a fixed number of elements (page 14). {1,2,3,4} is finite."
47,Finite/Infinite Sets and Equivalence,"If A={1,2} and B={a,b}, how many one-one correspondences exist?",1,2,3,4,2,3,"For n=2, there are n!=2 one-one correspondences (page 11). E.g., {(1,a), (2,b)}, {(1,b), (2,a)}."
48,Finite/Infinite Sets and Equivalence,"If A={1,2,3} and B={x,y,z}, which is a one-one correspondence?","{(1,x), (2,y), (3,z)}","{(1,x), (2,x), (3,y)}","{(1,x), (2,y), (3,y)}","{(1,x), (2,z), (3,x)}",1,4,"A one-one correspondence pairs each element uniquely (page 11). {(1,x), (2,y), (3,z)} is valid."
49,Finite/Infinite Sets and Equivalence,"Which set is equivalent to {1,2,3}?","{a,b,c}","{1,2}","{1,2,3,4}",∅,1,5,"Equivalent sets have a one-one correspondence (page 12). {a,b,c} ∼ {1,2,3}."
50,Finite/Infinite Sets and Equivalence,"If A={1,2,3} and B is a proper subset, what is true?",n(B) < n(A),n(B) = n(A),n(B) > n(A),B ∼ A,1,6,"If B is a proper subset of finite set A, n(B) < n(A) (page 14, Proposition 6)."
51,Finite/Infinite Sets and Equivalence,"Is {1,3,5,…} infinite?","Yes, it has a proper subset equivalent to itself","No, it has a fixed number of elements","Yes, it is a subset of N","No, it is equivalent to {1,2,3}",1,7,"An infinite set has a proper subset equivalent to itself (page 14, Proposition 7). {1,3,5,…} ∼ {3,5,…}."
52,Finite/Infinite Sets and Equivalence,"If A={1,2} and B={3,4}, what is n(A ∪ B)?",2,4,3,1,2,8,"For disjoint sets, n(A ∪ B) = n(A) + n(B) (page 15). n(A ∪ B)=2+2=4."
53,Finite/Infinite Sets and Equivalence,Which is true for equivalent sets A and B?,n(A) ≠ n(B),A = B,n(A) = n(B),A ⊆ B,3,9,"If A ∼ B and A is finite, n(A) = n(B) (page 14, Note 3)."
54,Finite/Infinite Sets and Equivalence,"If A={1,2,3,4}, what is n(P(A))?",8,16,4,2,2,10,"For n=4, n(P(A))=2^4=16 (page 4)."
55,Finite/Infinite Sets and Equivalence,Is ∅ finite?,"Yes, n(∅)=0","No, it has no elements","Yes, n(∅)=1","No, it is equivalent to N",1,3,The empty set is finite with n(∅)=0 (page 14).
56,Finite/Infinite Sets and Equivalence,"If A={x: x ∈ N, x ≤ 5}, what is n(A)?",4,5,6,3,2,4,"A={1,2,3,4,5}, so n(A)=5 (page 14)."
57,Finite/Infinite Sets and Equivalence,"Which set is equivalent to {1,3,5}?","{2,4,6}","{a,b,c}","{1,2,3,4}","{x,y}",2,6,"{a,b,c} has 3 elements and is equivalent to {1,3,5} (page 12)."
58,Finite/Infinite Sets and Equivalence,"If A is infinite, which is true?",n(A) is finite,A has a proper subset equivalent to A,A ⊆ ∅,n(A)=0,2,8,"A is infinite if it has a proper subset equivalent to A (page 14, Proposition 7)."
59,Real-Life Problems,"In a class of 40, 25 take chemistry, 20 take biology, 10 take both. How many take only chemistry?",15,10,20,5,1,1,"n(C \ B) = n(C) - n(C ∩ B) = 25 - 10 = 15 (page 17, Example 15)."
60,Real-Life Problems,"In a class of 50, 40 play football, 30 play cricket, all play at least one. How many play both?",20,10,30,40,1,2,"n(F ∪ C) = n(F) + n(C) - n(F ∩ C), 50 = 40 + 30 - n(F ∩ C), n(F ∩ C)=20 (page 17, Example 15)."
61,Real-Life Problems,"In a group of 30, 20 speak French, 15 speak German, 5 speak both. How many speak only French?",15,10,20,5,1,3,"n(F \ G) = n(F) - n(F ∩ G) = 20 - 5 = 15 (page 17, Example 15)."
62,Real-Life Problems,"In a group of 60, 45 like reading, 35 like music, 20 like both. How many like neither?",0,10,20,30,1,4,"n(R ∪ M) = n(R) + n(M) - n(R ∩ M) = 45 + 35 - 20 = 60. Neither = 60 - 60 = 0 (page 19, Activity 4)."
63,Real-Life Problems,"If 40 students, 30 take Biology, 20 take Physics, 10 take both, how many take only Physics?",10,20,15,5,1,5,"n(P \ B) = n(P) - n(P ∩ B) = 20 - 10 = 10 (page 17, Example 15)."
64,Real-Life Problems,"In a survey of 100, 60 read magazine A, 50 read B, 20 read both. How many read neither?",10,20,30,40,1,6,"n(A ∪ B) = n(A) + n(B) - n(A ∩ B) = 60 + 50 - 20 = 90. Neither = 100 - 90 = 10 (page 19, Activity 4)."
65,Real-Life Problems,"If 50 students, 40 like math, 30 like science, all like at least one, how many like both?",20,10,30,40,1,7,"n(M ∪ S) = n(M) + n(S) - n(M ∩ S), 50 = 40 + 30 - n(M ∩ S), n(M ∩ S)=20 (page 17, Example 15)."
66,Real-Life Problems,"In a class of 70, 50 take English, 40 take Math, 30 take both. How many take only English?",20,30,40,10,1,8,"n(E \ M) = n(E) - n(E ∩ M) = 50 - 30 = 20 (page 17, Example 15)."
67,Real-Life Problems,"If 80 people, 60 like tea, 50 like coffee, 40 like both, how many like only coffee?",10,20,30,40,2,9,"n(C \ T) = n(C) - n(C ∩ T) = 50 - 40 = 10 (page 17, Example 15)."
68,Real-Life Problems,"In a group of 90, 70 play soccer, 60 play basketball, 50 play both. How many play neither?",10,20,30,40,1,10,"n(S ∪ B) = n(S) + n(B) - n(S ∩ B) = 70 + 60 - 50 = 80. Neither = 90 - 80 = 10 (page 19, Activity 4)."
69,Real-Life Problems,"If 45 students, 30 like history, 25 like geography, 15 like both, how many like only history?",15,10,20,5,1,3,"n(H \ G) = n(H) - n(H ∩ G) = 30 - 15 = 15 (page 17, Example 15)."
70,Real-Life Problems,"In a class of 55, 40 take chemistry, 35 take physics, all take at least one. How many take both?",20,10,30,40,1,5,"n(C ∪ P) = n(C) + n(P) - n(C ∩ P), 55 = 40 + 35 - n(C ∩ P), n(C ∩ P)=20 (page 17, Example 15)."
71,Real-Life Problems,"If 65 people, 50 read book A, 45 read book B, 30 read both, how many read only book B?",15,20,25,10,1,7,"n(B \ A) = n(B) - n(B ∩ A) = 45 - 30 = 15 (page 17, Example 15)."
72,Real-Life Problems,"In a survey of 75, 60 like movie X, 50 like movie Y, 40 like both. How many like neither?",5,10,15,20,2,9,"n(X ∪ Y) = n(X) + n(Y) - n(X ∩ Y) = 60 + 50 - 40 = 70. Neither = 75 - 70 = 5 (page 19, Activity 4)."
73,Relations and Functions,What is the domain of f(x) = x + 1?,R,N,Z,Q,1,1,"The domain of f(x) = x + 1 is all real numbers, R (page 25, Definition 6)."
74,Relations and Functions,"If f(x) = 3x, domain {1,2}, what is the range?","{3,6}","{1,2,3}","{1,3}","{3,4}",1,2,"f(1)=3, f(2)=6, range={3,6} (page 25, Example 21)."
75,Relations and Functions,Which is a function?,"{(1,2), (1,3)}","{(1,2), (2,3)}","{(2,1), (2,1)}","{(1,1), (1,2)}",2,3,"A function has unique images for each domain element (page 25, Definition 5). {(1,2), (2,3)} is a function."
76,Relations and Functions,"What is the range of f(x) = x², domain {0,1,2}?","{0,1,4}","{0,1,2}","{1,4,9}","{0,2,4}",1,4,"f(0)=0, f(1)=1, f(2)=4, range={0,1,4} (page 27, Example 27)."
77,Relations and Functions,"Is f(x) = 2x + 1, x ∈ R, one-one?","Yes, f(x₁) = f(x₂) implies x₁ = x₂","No, f(-x) = f(x)","Yes, the graph is a parabola","No, the domain is infinite",1,5,"f(x₁) = f(x₂) ⇒ 2x₁ + 1 = 2x₂ + 1 ⇒ x₁ = x₂, so one-one (page 30, Example 30)."
78,Relations and Functions,What is the domain of f(x) = 1/(x-1)?,R,R \ {1},R \ {0},R \ {-1},2,6,"f(x) is undefined at x=1, so domain=R \ {1} (page 29, Example 29)."
79,Relations and Functions,"If f(x) = x + 2, what is f⁻¹(x)?",x - 2,x + 2,1/x,x²,1,7,"y = x + 2 ⇒ x = y - 2, f⁻¹(x) = x - 2 (page 27, Definition 9)."
80,Relations and Functions,"Is f(x) = x³, x ∈ R, onto?","Yes, every y has a preimage","No, negative y have no preimage","Yes, the domain is R","No, the range is limited",1,8,"For y = x³, x = y^(1/3) ∈ R, so onto (page 32, Example 34)."
81,Relations and Functions,"If f(x) = 2x, domain {1,2,3}, what is f⁻¹(4)?",2,1,3,4,1,9,"f(x) = 4 ⇒ 2x = 4 ⇒ x = 2, f⁻¹(4)=2 (page 31, Example 32)."
82,Relations and Functions,Which relation is not a function?,"{(x,y): y = x + 1}","{(x,y): y = x²}","{(x,y): x² + y² = 1}","{(x,y): y = √x}",3,10,"x² + y² = 1 has two y-values per x, not a function (page 35, Example 35)."
83,Relations and Functions,"What is the range of f(x) = 1/x, x ≠ 0?",R,R \ {0},R \ {1},R \ {-1},2,5,"y = 1/x, y ≠ 0, range=R \ {0} (page 29, Example 29)."
84,Relations and Functions,"If f(x) = x² + 1, domain {-1,0,1}, what is the range?","{1,2}","{0,1,2}","{1,2,3}","{0,1}",1,4,"f(-1)=2, f(0)=1, f(1)=2, range={1,2} (page 27, Example 27)."
85,Relations and Functions,"Is f(x) = |x|, x ∈ R, one-one?","Yes, f(x₁) = f(x₂) implies x₁ = x₂","No, f(-x) = f(x)","Yes, the graph is linear","No, the range is limited",2,7,"f(-x) = f(x), e.g., f(-1) = f(1) = 1, not one-one (page 30, Example 31)."
86,Relations and Functions,What is the domain of f(x) = √(4-x)?,{x ∈ R: x ≤ 4},{x ∈ R: x ≥ 4},{x ∈ R: x < 4},{x ∈ R: x > 4},1,5,"4-x ≥ 0 ⇒ x ≤ 4, domain={x ∈ R: x ≤ 4} (page 29, Example 29)."
87,Relations and Functions,"If f(x) = 3x - 2, what is f⁻¹(7)?",3,1,2,4,1,8,"f(x) = 7 ⇒ 3x - 2 = 7 ⇒ x = 3, f⁻¹(7)=3 (page 31, Example 32)."
88,Graphs of Functions and Relations,What is the slope of f(x) = 2x + 3?,2,3,1,0,1,1,"For f(x) = mx + b, slope m=2 (page 33, Linear Functions)."
89,Graphs of Functions and Relations,What is the y-intercept of f(x) = 3x - 1?,3,1,-1,0,3,2,"For f(x) = mx + b, y-intercept b=-1 (page 33, Linear Functions)."
90,Graphs of Functions and Relations,Which is the graph of y = x²?,A straight line,A parabola,A circle,A hyperbola,2,3,"The graph of y = x² is a parabola (page 34, Quadratic Function)."
91,Graphs of Functions and Relations,What is the center of the circle x² + y² = 9?,"(0,0)","(3,3)","(1,1)","(9,9)",1,4,"x² + y² = r² has center (0,0), r=3 (page 35, Graph of a Circle)."
92,Graphs of Functions and Relations,Which relation is a function based on its graph?,x² + y² = 4,y = x + 2,x = y²,y² = x,2,5,"y = x + 2 is a linear function, a straight line (page 33, Linear Functions)."
93,Graphs of Functions and Relations,What is the radius of the circle (x-1)² + (y-2)² = 16?,4,16,1,2,1,6,"(x-p)² + (y-q)² = r², r=√16=4 (page 35, Graph of a Circle)."
94,Graphs of Functions and Relations,What is the vertex of y = x² - 2x + 1?,"(1,0)","(0,1)","(1,1)","(0,0)",1,7,"y = (x-1)², vertex at (1,0) (page 34, Quadratic Function)."
95,Graphs of Functions and Relations,Which is the graph of y = 2x - 1?,A parabola,A straight line,A circle,A hyperbola,2,8,"y = 2x - 1 is a linear function, a straight line (page 33, Linear Functions)."
96,Graphs of Functions and Relations,What is the minimum value of y = x² + 2?,0,2,1,-2,2,9,"For y = x² + 2, minimum at x=0, y=2 (page 34, Quadratic Function)."
97,Graphs of Functions and Relations,Which relation is not a function?,y = 3x + 1,y = x² - 1,x² + y² = 25,y = √x,3,10,"x² + y² = 25 has two y-values per x, not a function (page 35, Example 35)."
98,Graphs of Functions and Relations,What is the slope of y = -x + 4?,-1,1,4,0,1,3,"For y = mx + b, slope m=-1 (page 33, Linear Functions)."
99,Graphs of Functions and Relations,What is the y-intercept of y = x² - 4?,4,0,-4,1,3,4,"For y = x² + b, y-intercept b=-4 (page 34, Quadratic Function)."
100,Graphs of Functions and Relations,What is the radius of x² + y² = 25?,5,25,1,0,1,6,"x² + y² = r², r=√25=5 (page 35, Graph of a Circle)."
