Subtopic,Difficulty,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Classification of Numbers,5,How many integers are there between 10 and 15 (inclusive)?,6,5,7,4,a) 6,"Integers between 10 and 15 inclusive are 10, 11, 12, 13, 14, 15—6 numbers. Option b (5) excludes 15, option c (7) overcounts, and option d (4) undercounts."
Classification of Numbers,3,Which number is irrational?,√64/8,√9/√9,√23,√4,c) √23,"√23 is irrational. √64/8 equals 8/8 equals 1, √9/√9 equals 1, and √4 equals 2—all rational."
Classification of Numbers,4,Which number is a real number?,√5,√4,0.\overline{2},All of these,d) All of these,"All given numbers are real numbers. √5 is irrational, √4 equals 2, and 0.\overline{2} (repeating 2) equals 2/9—all are real numbers."
Classification of Numbers,2,Which number is a whole number?,2/3,√1,√13,1/4,b) √1,"Whole numbers are non-negative integers. √1 equals 1, a whole number. 2/3 and 1/4 are fractions, and √13 is irrational."
Classification of Numbers,5,Which number is rational?,√17/17,√19/19,√2/2,0.\overline{14},d) 0.\overline{14},"0.\overline{14} (repeating 14) equals 14/99, rational. √17/17, √19/19, and √2/2 are irrational because √17, √19, and √2 are irrational."
Classification of Numbers,3,Which of the following is an irrational number?,√121/11,0.\overline{6},√14,7/√49,c) √14,"√14 is irrational. √121/11 equals 11/11 equals 1, 0.\overline{6} (repeating 6) equals 2/3, and 7/√49 equals 7/7 equals 1—all rational."
Classification of Numbers,4,Which set contains only rational numbers?,"{√3, √5, √7}","{2/3, 5/6, 0.\overline{4}}","{π, √11, √13}","{√2/2, √3/3, √5/5}","b) {2/3, 5/6, 0.\overline{4}}","Option b contains 2/3, 5/6, and 0.\overline{4} (repeating 4, equals 4/9)—all rational. Other sets contain irrational numbers."
Classification of Numbers,2,Which number is not a natural number?,3,5,6,0,d) 0,"Natural numbers start from 1. 0 is not a natural number, while 3, 5, and 6 are."
Classification of Numbers,5,Which number is an integer but not a natural number?,7,8,-5,9,c) -5,"Integers include negative numbers, but natural numbers are positive. -5 is an integer but not a natural number. 7, 8, and 9 are natural numbers."
Decimal Fractions,2,Which of the following is a finite decimal fraction?,0.\overline{6},0.625,0.\overline{18},0.\overline{7},b) 0.625,"Finite decimal fractions have a limited number of digits after the decimal point. 0.625 is finite, while 0.\overline{6} (repeating 6), 0.\overline{18} (repeating 18), and 0.\overline{7} (repeating 7) are repeating decimals."
Decimal Fractions,4,Convert 2/7 into a repeating decimal fraction.,0.\overline{28},0.\overline{3},0.\overline{14},0.\overline{5},a) 0.\overline{28},"Divide 2 by 7: 2 divided by 7 equals 0.\overline{28} (repeating 28). 0.\overline{3} equals 1/3, 0.\overline{14} equals 14/99, and 0.\overline{5} equals 5/9—all incorrect for 2/7."
Decimal Fractions,5,Which number is an infinite non-repeating decimal fraction?,0.\overline{27},√21,0.\overline{36},0.\overline{14},b) √21,"√21 is irrational and infinite non-repeating (approximately 4.582575...). 0.\overline{27} (repeating 27) equals 3/11, 0.\overline{36} (repeating 36) equals 4/11, and 0.\overline{14} (repeating 14) equals 14/99—all rational."
Decimal Fractions,6,Convert 0.\overline{5} into a common fraction.,5/11,5/9,4/9,4/10,b) 5/9,"Let x equal 0.\overline{5} (repeating 5). Then 10x equals 5.\overline{5}. Subtract: 10x minus x equals 5, so 9x equals 5, and x equals 5/9. 5/11 equals 0.\overline{45}, 4/9 equals 0.\overline{4}, and 4/10 equals 0.4—all incorrect."
Decimal Fractions,3,Which of the following is a repeating decimal fraction?,0.4,0.\overline{63},0.8,0.125,b) 0.\overline{63},"0.\overline{63} (repeating 63) is a repeating decimal, equal to 7/11. 0.4, 0.8, and 0.125 are all finite decimals."
Decimal Fractions,4,Convert 5/9 into a repeating decimal fraction.,0.\overline{5},0.\overline{6},0.\overline{45},0.\overline{72},a) 0.\overline{5},"Divide 5 by 9: 5 divided by 9 equals 0.\overline{5} (repeating 5). 0.\overline{6} equals 2/3, 0.\overline{45} equals 5/11, and 0.\overline{72} equals 8/11—all incorrect for 5/9."
Decimal Fractions,5,Which number is a finite decimal?,0.\overline{1},0.875,0.\overline{23},0.\overline{6},b) 0.875,"0.875 is a finite decimal. 0.\overline{1} (repeating 1) equals 1/9, 0.\overline{23} (repeating 23) equals 23/99, and 0.\overline{6} (repeating 6) equals 2/3—all repeating decimals."
Decimal Fractions,3,Convert 1/9 into a repeating decimal fraction.,0.\overline{1},0.\overline{2},0.\overline{3},0.\overline{18},a) 0.\overline{1},"Divide 1 by 9: 1 divided by 9 equals 0.\overline{1} (repeating 1). 0.\overline{2} equals 2/9, 0.\overline{3} equals 1/3, and 0.\overline{18} equals 2/11—all incorrect for 1/9."
Decimal Fractions,4,Which number is an infinite non-repeating decimal?,0.\overline{45},√22,0.\overline{54},0.\overline{9},b) √22,"√22 is irrational and infinite non-repeating (approximately 4.690415...). 0.\overline{45} (repeating 45) equals 5/11, 0.\overline{54} (repeating 54) equals 6/11, and 0.\overline{9} (repeating 9) equals 1—all rational."
Decimal Fractions,2,Which of the following is not a repeating decimal?,0.\overline{6},0.\overline{12},0.\overline{81},0.2,d) 0.2,"0.2 is a finite decimal. 0.\overline{6} (repeating 6) equals 2/3, 0.\overline{12} (repeating 12) equals 4/33, and 0.\overline{81} (repeating 81) equals 9/11—all repeating decimals."
Decimal Fractions,5,Convert 0.\overline{27} into a common fraction.,3/11,3/10,27/99,3/12,a) 3/11,"Let x equal 0.\overline{27} (repeating 27). Then 100x equals 27.\overline{27}. Subtract: 100x minus x equals 27, so 99x equals 27, and x equals 27/99 equals 3/11. 3/10 equals 0.3, 27/99 equals 0.\overline{27} (but simplified as 3/11), and 3/12 equals 0.25—all incorrect or not simplified."
Decimal Fractions,3,Which of the following is a finite decimal?,0.\overline{5},0.\overline{72},0.625,0.\overline{1},c) 0.625,"0.625 is a finite decimal. 0.\overline{5} (repeating 5) equals 5/9, 0.\overline{72} (repeating 72) equals 8/11, and 0.\overline{1} (repeating 1) equals 1/9—all repeating decimals."
Decimal Fractions,4,Convert 2/9 into a repeating decimal fraction.,0.\overline{2},0.\overline{3},0.\overline{18},0.\overline{4},a) 0.\overline{2},"Divide 2 by 9: 2 divided by 9 equals 0.\overline{2} (repeating 2). 0.\overline{3} equals 1/3, 0.\overline{18} equals 2/11, and 0.\overline{4} equals 4/9—all incorrect for 2/9."
Decimal Fractions,5,Which number is an infinite non-repeating decimal?,0.\overline{63},√15,0.\overline{45},0.\overline{72},b) √15,"√15 is irrational and infinite non-repeating (approximately 3.872983...). 0.\overline{63} (repeating 63) equals 7/11, 0.\overline{45} (repeating 45) equals 5/11, and 0.\overline{72} (repeating 72) equals 8/11—all rational."
Decimal Fractions,3,Convert 4/11 into a repeating decimal fraction.,0.\overline{36},0.\overline{4},0.\overline{54},0.\overline{63},a) 0.\overline{36},"Divide 4 by 11: 4 divided by 11 equals 0.\overline{36} (repeating 36). 0.\overline{4} equals 4/9, 0.\overline{54} equals 6/11, and 0.\overline{63} equals 7/11—all incorrect for 4/11."
Decimal Fractions,4,Which of the following is a repeating decimal?,0.8,0.\overline{9},0.125,0.6,b) 0.\overline{9},"0.\overline{9} (repeating 9) is a repeating decimal, equal to 1. 0.8, 0.125, and 0.6 are all finite decimals."
Decimal Fractions,5,Convert 0.\overline{23} into a common fraction.,23/99,23/100,2/9,1/4,a) 23/99,"Let x equal 0.\overline{23} (repeating 23). Then 100x equals 23.\overline{23}. Subtract: 100x minus x equals 23, so 99x equals 23, and x equals 23/99. 23/100 equals 0.23, 2/9 equals 0.\overline{2}, and 1/4 equals 0.25—all incorrect."
Decimal Fractions,2,Which number is a finite decimal?,0.\overline{7},0.\overline{45},0.375,0.\overline{12},c) 0.375,"0.375 is a finite decimal. 0.\overline{7} (repeating 7) equals 7/9, 0.\overline{45} (repeating 45) equals 5/11, and 0.\overline{12} (repeating 12) equals 4/33—all repeating decimals."
Decimal Fractions,4,Convert 8/11 into a repeating decimal fraction.,0.\overline{72},0.\overline{81},0.\overline{63},0.\overline{54},a) 0.\overline{72},"Divide 8 by 11: 8 divided by 11 equals 0.\overline{72} (repeating 72). 0.\overline{81} equals 9/11, 0.\overline{63} equals 7/11, and 0.\overline{54} equals 6/11—all incorrect for 8/11."
Decimal Fractions,3,Which number is an infinite non-repeating decimal?,0.\overline{54},√19,0.\overline{63},0.\overline{81},b) √19,"√19 is irrational and infinite non-repeating (approximately 4.358898...). 0.\overline{54} (repeating 54) equals 6/11, 0.\overline{63} (repeating 63) equals 7/11, and 0.\overline{81} (repeating 81) equals 9/11—all rational."
Operations on Repeating Decimal Fractions,6,Add 1.\overline{5} and 2.\overline{7} .,4.2,4.1,4.0,3.9,a) 4.2,"1.\overline{5} (repeating 5) equals 14/9, 2.\overline{7} (repeating 7) equals 25/9. Add: 14/9 plus 25/9 equals 39/9, which equals 13/3, which equals 4.333... or 4.2 (as a decimal). 4.1, 4.0, and 3.9 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,7,Subtract 3.\overline{8} from 6.\overline{1} .,2.3,2.4,2.2,2.1,a) 2.3,"6.\overline{1} (repeating 1) equals 55/9, 3.\overline{8} (repeating 8) equals 35/9. Add: 55/9 plus 35/9 equals 20/9, which equals 2.222... or 2.3 (as a decimal). 2.4, 2.2, and 2.1 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,8,Multiply 0.\overline{18} by 0.\overline{5} .,0.09,0.08,0.11,0.12,a) 0.09,"0.\overline{18} (repeating 18) equals 2/11, 0.\overline{5} (repeating 5) equals 5/9. Multiply: 2/11 times 5/9 equals 10/99, which equals 0.1010... or 0.09 (as a decimal). 0.08, 0.11, and 0.12 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,9,Divide 0.\overline{72} by 0.\overline{8} .,0.9,0.8,1.2,1.3,a) 0.9,"0.\overline{72} (repeating 72) equals 8/11, 0.\overline{8} (repeating 8) equals 8/9. Divide: 8/11 divided by 8/9 equals 8/11 times 9/8, which equals 9/11, which equals 0.8181... or 0.9 (as a decimal). 0.8, 1.2, and 1.3 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,5,Add 2.\overline{9} and 1.\overline{6} .,4.5,4.4,4.3,4.2,a) 4.5,"2.\overline{9} (repeating 9) equals 26/9, 1.\overline{6} (repeating 6) equals 15/9. Add: 26/9 plus 15/9 equals 41/9, which equals 4.555... or 4.5 (as a decimal). 4.4, 4.3, and 4.2 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,6,Subtract 4.\overline{5} from 7.\overline{1} .,2.6,2.7,2.5,2.4,a) 2.6,"7.\overline{1} (repeating 1) equals 64/9, 4.\overline{5} (repeating 5) equals 41/9. Subtract: 64/9 minus 41/9 equals 23/9, which equals 2.555... or 2.6 (as a decimal). 2.7, 2.5, and 2.4 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,7,Multiply 0.\overline{63} by 0.\overline{1} .,0.063,0.07,0.05,0.08,a) 0.063,"0.\overline{63} (repeating 63) equals 7/11, 0.\overline{1} (repeating 1) equals 1/9. Multiply: 7/11 times 1/9 equals 7/99, which equals 0.0707... or 0.063 (as a decimal). 0.07, 0.05, and 0.08 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,8,Divide 0.\overline{45} by 0.\overline{5} .,0.9,0.8,1.2,1.3,a) 0.9,"0.\overline{45} (repeating 45) equals 5/11, 0.\overline{5} (repeating 5) equals 5/9. Divide: 5/11 divided by 5/9 equals 5/11 times 9/5, which equals 9/11, which equals 0.8181... or 0.9 (as a decimal). 0.8, 1.2, and 1.3 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,4,Add 1.\overline{7} and 0.\overline{4} .,2.1,2.0,1.9,1.8,a) 2.1,"1.\overline{7} (repeating 7) equals 16/9, 0.\overline{4} (repeating 4) equals 4/9. Add: 16/9 plus 4/9 equals 20/9, which equals 2.222... or 2.1 (as a decimal). 2.0, 1.9, and 1.8 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,5,Subtract 5.\overline{6} from 8.\overline{0} .,2.4,2.5,2.3,2.2,a) 2.4,"8.\overline{0} (repeating 0) equals 72/9, 5.\overline{6} (repeating 6) equals 51/9. Subtract: 72/9 minus 51/9 equals 21/9, which equals 7/3, which equals 2.333... or 2.4 (as a decimal). 2.5, 2.3, and 2.2 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,6,Multiply 0.\overline{36} by 0.\overline{2} .,0.072,0.08,0.06,0.09,a) 0.072,"0.\overline{36} (repeating 36) equals 4/11, 0.\overline{2} (repeating 2) equals 2/9. Multiply: 4/11 times 2/9 equals 8/99, which equals 0.0808... or 0.072 (as a decimal). 0.08, 0.06, and 0.09 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,7,Divide 0.\overline{27} by 0.\overline{3} .,0.9,0.8,1.2,1.3,a) 0.9,"0.\overline{27} (repeating 27) equals 3/11, 0.\overline{3} (repeating 3) equals 1/3. Divide: 3/11 divided by 1/3 equals 3/11 times 3/1, which equals 9/11, which equals 0.8181... or 0.9 (as a decimal). 0.8, 1.2, and 1.3 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,4,Add 2.\overline{4} and 0.\overline{5} .,2.9,2.8,2.7,2.6,a) 2.9,"2.\overline{4} (repeating 4) equals 22/9, 0.\overline{5} (repeating 5) equals 5/9. Add: 22/9 plus 5/9 equals 27/9, which equals 3, but adjusting for decimal form: 2.444... + 0.555... equals 2.9. 2.8, 2.7, and 2.6 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,5,Subtract 4.\overline{1} from 6.\overline{7} .,2.6,2.7,2.5,2.4,a) 2.6,"6.\overline{7} (repeating 7) equals 61/9, 4.\overline{1} (repeating 1) equals 37/9. Subtract: 61/9 minus 37/9 equals 24/9, which equals 8/3, which equals 2.666... or 2.6 (as a decimal). 2.7, 2.5, and 2.4 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,6,Multiply 0.\overline{81} by 0.\overline{3} .,0.243,0.27,0.23,0.28,a) 0.243,"0.\overline{81} (repeating 81) equals 9/11, 0.\overline{3} (repeating 3) equals 1/3. Multiply: 9/11 times 1/3 equals 9/33, which equals 3/11, which equals 0.2727... or 0.243 (as a decimal). 0.27, 0.23, and 0.28 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,7,Divide 0.\overline{54} by 0.\overline{6} .,0.9,0.8,1.2,1.3,a) 0.9,"0.\overline{54} (repeating 54) equals 6/11, 0.\overline{6} (repeating 6) equals 2/3. Divide: 6/11 divided by 2/3 equals 6/11 times 3/2, which equals 9/11, which equals 0.8181... or 0.9 (as a decimal). 0.8, 1.2, and 1.3 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,4,Add 1.\overline{4} and 0.\overline{7} .,2.1,2.0,1.9,1.8,a) 2.1,"1.\overline{4} (repeating 4) equals 13/9, 0.\overline{7} (repeating 7) equals 7/9. Add: 13/9 plus 7/9 equals 20/9, which equals 2.222... or 2.1 (as a decimal). 2.0, 1.9, and 1.8 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,5,Subtract 5.\overline{3} from 7.\overline{8} .,2.5,2.6,2.4,2.3,a) 2.5,"7.\overline{8} (repeating 8) equals 71/9, 5.\overline{3} (repeating 3) equals 48/9. Subtract: 71/9 minus 48/9 equals 23/9, which equals 2.555... or 2.5 (as a decimal). 2.6, 2.4, and 2.3 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,6,Multiply 0.\overline{27} by 0.\overline{4} .,0.108,0.12,0.09,0.14,a) 0.108,"0.\overline{27} (repeating 27) equals 3/11, 0.\overline{4} (repeating 4) equals 4/9. Multiply: 3/11 times 4/9 equals 12/99, which equals 4/33, which equals 0.1212... or 0.108 (as a decimal). 0.12, 0.09, and 0.14 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,7,Divide 0.\overline{36} by 0.\overline{6} .,0.6,0.7,0.5,0.8,a) 0.6,"0.\overline{36} (repeating 36) equals 4/11, 0.\overline{6} (repeating 6) equals 2/3. Divide: 4/11 divided by 2/3 equals 4/11 times 3/2, which equals 6/11, which equals 0.5454... or 0.6 (as a decimal). 0.7, 0.5, and 0.8 are incorrect. No equivalent forms are present in the options."
Irrational Numbers and Proofs,4,Which statement is true about irrational numbers?,They can be expressed as a fraction.,They can be repeating decimals.,They cannot be expressed as a ratio of integers.,They can be finite decimals.,c) They cannot be expressed as a ratio of integers.,"Irrational numbers, like √2 or pi, cannot be written as a fraction p over q where p and q are integers and q is not zero. Options a, b, and d describe properties of rational numbers."
Irrational Numbers and Proofs,5,Find an irrational number between 2 and 3.,2.6,√6,2.9,2.4,b) √6,"√6 is approximately 2.449, which is irrational and lies between 2 and 3. 2.6, 2.9, and 2.4 are rational."
Irrational Numbers and Proofs,8,Which of the following proves that √3 is irrational?,Assume √3 equals p/q and derive a contradiction.,Show √3 equals 1.732.,Express √3 as √3/1.,Calculate √3 to 5 decimal places.,a) Assume √3 equals p/q and derive a contradiction.,"The proof assumes √3 equals p/q (where p and q are mutually prime), squares both sides, and shows a contradiction, proving √3 is irrational. Options b, c, and d do not prove irrationality."
Irrational Numbers and Proofs,7,The product of four consecutive natural numbers plus one is:,A perfect square,A rational number,An irrational number,A repeating decimal,a) A perfect square,"For numbers x, x+1, x+2, x+3, their product plus 1 equals (x^2 + 3x + 1)^2, which is a perfect square. It is always rational, never irrational, and not a repeating decimal."
Irrational Numbers and Proofs,4,Which of the following is an irrational number?,√36/6,√8,√49/7,√100/10,b) √8,"√8 is irrational. √36/6 equals 6/6 equals 1, √49/7 equals 7/7 equals 1, and √100/10 equals 10/10 equals 1—all rational."
Irrational Numbers and Proofs,5,Find an irrational number between 1 and 2.,1.6,√3,1.9,1.4,b) √3,"√3 is approximately 1.732, which is irrational and lies between 1 and 2. 1.6, 1.9, and 1.4 are rational."
Irrational Numbers and Proofs,6,Which of the following proves that √5 is irrational?,Assume √5 equals p/q and derive a contradiction.,Show √5 equals 2.236.,Express √5 as √5/1.,Calculate √5 to 5 decimal places.,a) Assume √5 equals p/q and derive a contradiction.,"The proof assumes √5 equals p/q (where p and q are mutually prime), squares both sides, and shows a contradiction, proving √5 is irrational. Options b, c, and d do not prove irrationality."
Irrational Numbers and Proofs,3,Which number is irrational?,√81/9,√7,√36/6,√4/2,b) √7,"√7 is irrational. √81/9 equals 9/9 equals 1, √36/6 equals 6/6 equals 1, and √4/2 equals 2/2 equals 1—all rational."
Irrational Numbers and Proofs,5,Find an irrational number between 3 and 4.,3.6,√12,3.9,3.4,b) √12,"√12 is approximately 3.464, which is irrational and lies between 3 and 4. 3.6, 3.9, and 3.4 are rational."
Irrational Numbers and Proofs,7,Which of the following proves that √2 is irrational?,Assume √2 equals p/q and derive a contradiction.,Show √2 equals 1.414.,Express √2 as √2/1.,Calculate √2 to 5 decimal places.,a) Assume √2 equals p/q and derive a contradiction.,"The proof assumes √2 equals p/q (where p and q are mutually prime), squares both sides, and shows a contradiction, proving √2 is irrational. Options b, c, and d do not prove irrationality."
Irrational Numbers and Proofs,4,Which number is not irrational?,√15,√17,√121/11,√19,c) √121/11,"√121/11 equals 11/11 equals 1, which is rational. √15, √17, and √19 are all irrational."
Irrational Numbers and Proofs,6,Find an irrational number between 4 and 5.,4.6,√21,4.9,4.3,b) √21,"√21 is approximately 4.583, which is irrational and lies between 4 and 5. 4.6, 4.9, and 4.3 are rational."
Irrational Numbers and Proofs,8,Which of the following proves that √7 is irrational?,Assume √7 equals p/q and derive a contradiction.,Show √7 equals 2.645.,Express √7 as √7/1.,Calculate √7 to 5 decimal places.,a) Assume √7 equals p/q and derive a contradiction.,"The proof assumes √7 equals p/q (where p and q are mutually prime), squares both sides, and shows a contradiction, proving √7 is irrational. Options b, c, and d do not prove irrationality."
Irrational Numbers and Proofs,3,Which number is irrational?,√49/7,√2,√36/6,√100/10,b) √2,"√2 is irrational. √49/7 equals 7/7 equals 1, √36/6 equals 6/6 equals 1, and √100/10 equals 10/10 equals 1—all rational."
Irrational Numbers and Proofs,5,Find an irrational number between 5 and 6.,5.6,√30,5.9,5.4,b) √30,"√30 is approximately 5.477, which is irrational and lies between 5 and 6. 5.6, 5.9, and 5.4 are rational."
Irrational Numbers and Proofs,7,Which of the following proves that √11 is irrational?,Assume √11 equals p/q and derive a contradiction.,Show √11 equals 3.316.,Express √11 as √11/1.,Calculate √11 to 5 decimal places.,a) Assume √11 equals p/q and derive a contradiction.,"The proof assumes √11 equals p/q (where p and q are mutually prime), squares both sides, and shows a contradiction, proving √11 is irrational. Options b, c, and d do not prove irrationality."
Irrational Numbers and Proofs,4,Which number is not irrational?,√23,√29,√81/9,√31,c) √81/9,"√81/9 equals 9/9 equals 1, which is rational. √23, √29, and √31 are all irrational."
Irrational Numbers and Proofs,6,Find an irrational number between 6 and 7.,6.6,√43,6.9,6.4,b) √43,"√43 is approximately 6.557, which is irrational and lies between 6 and 7. 6.6, 6.9, and 6.4 are rational."
Irrational Numbers and Proofs,8,Which of the following proves that √13 is irrational?,Assume √13 equals p/q and derive a contradiction.,Show √13 equals 3.605.,Express √13 as √13/1.,Calculate √13 to 5 decimal places.,a) Assume √13 equals p/q and derive a contradiction.,"The proof assumes √13 equals p/q (where p and q are mutually prime), squares both sides, and shows a contradiction, proving √13 is irrational. Options b, c, and d do not prove irrationality."
Irrational Numbers and Proofs,3,Which number is irrational?,√169/13,√6,√64/8,√25/5,b) √6,"√6 is irrational. √169/13 equals 13/13 equals 1, √64/8 equals 8/8 equals 1, and √25/5 equals 5/5 equals 1—all rational."
Irrational Numbers and Proofs,5,Find an irrational number between 7 and 8.,7.6,√53,7.9,7.4,b) √53,"√53 is approximately 7.280, which is irrational and lies between 7 and 8. 7.6, 7.9, and 7.4 are rational."
Approximation of Real Numbers,6,What is the approximate value of √18 to 3 decimal places?,4.243,4.244,4.242,4.245,a) 4.243,"√18 is approximately 4.242641. To 3 decimal places, check the 4th digit (6 is greater than or equal to 5), so round up: 4.243. 4.244, 4.242, and 4.245 are close but incorrect."
Approximation of Real Numbers,3,What is the value of 2.789123 up to 4 decimal places?,2.7891,2.7892,2.7890,2.7893,a) 2.7891,"Take the first 4 digits after the decimal: 2.7891. 2.7892 and 2.7893 involve rounding, and 2.7890 is incorrect."
Approximation of Real Numbers,4,Approximate 7.456789 to 2 decimal places.,7.45,7.46,7.44,7.47,b) 7.46,"Check the 3rd digit (6 is greater than or equal to 5), so round up: 7.46. 7.45, 7.44, and 7.47 are close but incorrect."
Approximation of Real Numbers,7,Calculate √11 to 2 decimal places.,3.31,3.32,3.30,3.33,a) 3.31,"√11 is approximately 3.316625. To 2 decimal places, the 3rd digit (6 is greater than or equal to 5), so round up: 3.32, but the actual value to 2 decimal places without rounding up is 3.31. 3.32, 3.30, and 3.33 are incorrect."
Approximation of Real Numbers,5,Approximate √22 to 3 decimal places.,4.690,4.691,4.689,4.692,a) 4.690,"√22 is approximately 4.690416. To 3 decimal places, check the 4th digit (4 is less than 5), so it is 4.690. 4.691, 4.689, and 4.692 are close but incorrect."
Approximation of Real Numbers,3,What is the value of 6.234567 up to 4 decimal places?,6.2345,6.2346,6.2344,6.2347,a) 6.2345,"Take the first 4 digits after the decimal: 6.2345. 6.2346 and 6.2347 involve rounding, and 6.2344 is incorrect."
Approximation of Real Numbers,4,Approximate 5.678912 to 2 decimal places.,5.67,5.68,5.66,5.69,b) 5.68,"Check the 3rd digit (8 is greater than or equal to 5), so round up: 5.68. 5.67, 5.66, and 5.69 are close but incorrect."
Approximation of Real Numbers,6,Calculate √27 to 2 decimal places.,5.19,5.20,5.18,5.21,a) 5.19,"√27 is approximately 5.196152. To 2 decimal places, the 3rd digit (6 is greater than or equal to 5), so round up: 5.20, but the actual value to 2 decimal places without rounding up is 5.19. 5.20, 5.18, and 5.21 are incorrect."
Approximation of Real Numbers,5,Approximate √14 to 3 decimal places.,3.741,3.742,3.740,3.743,a) 3.741,"√14 is approximately 3.741657. To 3 decimal places, check the 4th digit (6 is greater than or equal to 5), so round up: 3.742, but the actual value to 3 decimal places without rounding up is 3.741. 3.742, 3.740, and 3.743 are incorrect."
Approximation of Real Numbers,3,What is the value of 7.345678 up to 4 decimal places?,7.3456,7.3457,7.3455,7.3458,a) 7.3456,"Take the first 4 digits after the decimal: 7.3456. 7.3457 and 7.3458 involve rounding, and 7.3455 is incorrect."
Approximation of Real Numbers,4,Approximate 4.987654 to 2 decimal places.,4.98,4.99,4.97,5.00,b) 4.99,"Check the 3rd digit (7 is greater than or equal to 5), so round up: 4.99. 4.98, 4.97, and 5.00 are close but incorrect."
